eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode
N1Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N1Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N1Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N1Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,philopotamidae,,,,,,,
N1Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,heptageniidae (synonym: ecdyonuridae),,,,,,,
N2Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N2Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N2Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,diptera,dixidae,,,,,,,
N3Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N3Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N3Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N3Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,coleoptera,,,,,,,,
N4Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N4Stream,,Kicksampling,2,2,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N4Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N4Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,philopotamidae,,,,,,,
N4Stream,,Kicksampling,1,1,,present,,Animalia,Nematomorpha,Gordioida,gordioidea,,,,,,,,
N4Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,leptoceridae,,,,,,,
